CC3F,SD10A,2.5
GM16A2,SD10A,2.5
GM16A1,SD10A,2.5
GM16B,SD10A,2.5
GM33,SD10A,2.5
GM5,SD10A,2.5
GM2,SD10A,2.5
GM18,SD10A,2.5
PS3,SD10A,2.5
O67A,SD10A,2.5
O54,SD10A,2.5
O45B1,SD10A,2.5
O45B,SD10A,2.5
O45A,SD10A,2.5
O28C,SD10A,2.5
O70A,SD10A,2.5
O16C,SD10A,2.5
GM20B,SD10A,2.5
GM20B2,SD10A,2.5
CN7B,SD10A,2.5
CN6B,SD10A,2.5
CN5B,SD10A,2.5
MR24,SD10A,2.5
MR10_0,SD10A,2.5
GM43A,SD10A,2.5
GM20B1,SD10A,2.5
GM41A,SD10A,2.5
GM25A2,SD10A,2.5
GM25A1,SD10A,2.5
GM25,SD10A,2.5
GM22A2,SD10A,2.5
GM22A1,SD10A,2.5
GM22,SD10A,2.5
GM40A,SD10A,2.5
PR27A,SD10A,2.5
PR21B,SD10A,2.5
PR20B1,SD10A,2.5
CC39_1,SD10A,2.5
CC29_1,SD10A,2.5
CC3T,SD10A,2.5
CC3S,SD10A,2.5
CC3O,SD10A,2.5
CC3N,SD10A,2.5
CC44,SD10A,2.5
CC3L,SD10A,2.5
CC3H,SD10A,2.5
CC3G,SD10A,2.5
EA35A,SD10A,2.5
CC3D,SD10A,2.5
CC3B,SD10A,2.5
CC3A,SD10A,2.5
CC3J,SD10A,2.5
CC72,SD10A,2.5
CC73,SD10A,2.5
CC79,SD10A,2.5
PR20B,SD10A,2.5
PR20A,SD10A,2.5
PR11,SD10A,2.5
PR9,SD10A,2.5
PR7,SD10A,2.5
PR5A,SD10A,2.5
TB21A,SD10A,2.5
N47A,SD10A,2.5
N44A,SD10A,2.5
N32A,SD10A,2.5
N31,SD10A,2.5
N17C,SD10A,2.5
N16B,SD10A,2.5
N16A,SD10A,2.5
CC80,SD10A,2.5
CN7C,SD10A,2.5
CN7C_101,SD10A,2.5
CN7C_102,SD10A,2.5
CN7C_103,SD10A,2.5
PT59B_5,SD10A,2.5
PT57A1,SD10A,2.5
DM20,SD10A,2.5
DM1_15,SD10A,2.5
SA47A,SD10A,2.5
SA44A,SD10A,2.5
PT64A,SD10A,2.5
SA43A,SD10A,2.5
SA19B1,SD10A,2.5
SA19B,SD10A,2.5
SA19A,SD10A,2.5
SA8B1,SD10A,2.5
SA8B,SD10A,2.5
SA8A,SD10A,2.5
SA20C,SD10A,2.5
PT119,SD10A,2.5
PT119A,SD10A,2.5
PT120,SD10A,2.5
EA29A,SD10A,2.5
EA26B1,SD10A,2.5
EA26A,SD10A,2.5
EA22A,SD10A,2.5
EA19B1,SD10A,2.5
EA19B,SD10A,2.5
EA19A,SD10A,2.5
EA15A,SD10A,2.5
EA12B1,SD10A,2.5
EA12A,SD10A,2.5
PT59B,SD10A,2.5
PT120A,SD10A,2.5
PT55C,SD10A,2.5
PT256A,SD10A,2.5
PT246A,SD10A,2.5
CD37A,SD10A,2.5
SU68B,SD10A,2.5
CD20A,SD10A,2.5
ACD18C1,SD10A,2.5
CH6CA,SD10A,2.5
CH6B,SD10A,2.5
CH2C,SD10A,2.5
CH2B,SD10A,2.5
CH2A,SD10A,2.5
DA36_3C,SD10A,2.5
AD3B,SD10A,2.5
CN7_2A,SD10A,2.5
CN7C_109,SD10A,2.5
CN7C_108,SD10A,2.5
CN7C_107,SD10A,2.5
CN7C_106,SD10A,2.5
CN7C_105,SD10A,2.5
CN7C_104,SD10A,2.5
CN7C_110,SD10A,2.5
AD3B1,SD10A,2.5
AD4A,SD10A,2.5
AD14A,SD10A,2.5
CD7B,SD10A,2.5
OD26A,SD10A,2.5
OD23A,SD10A,2.5
OD12A,SD10A,2.5
OD4A,SD10A,2.5
OD3B1,SD10A,2.5
OD3B,SD10A,2.5
AD32B1,SD10A,2.5
AD43_1H,SD10A,2.5
AD43_1C,SD10A,2.5
AD43_1A,SD10A,2.5
AD33A,SD10A,2.5
AD32B,SD10A,2.5
AD28A,SD10A,2.5
AD25A,SD10A,2.5
CD18B,SD10A,2.5
SU30A,SD10A,2.5
EA37A,SD10A,2.5
SU2A,SD10A,2.5
SP13C1,SD10A,2.5
SP20,SD10A,2.5
SP27A,SD10A,2.5
SP38A,SD10A,2.5
SP41A,SD10A,2.5
SO3A,SD10A,2.5
ASO3B1,SD10A,2.5
